id,MID,trial_number,start_date,trialstart,outcome,reaction_time,totalpoints,prop_left,prop_right,resp,revealed_left,revealed_right,AID,HID,noresp,session_id,five_trial_outcome,mag_left,mag_right,received_mag,practice,loss_or_reward,revealed_o_l,revealed_o_r,revealed_x_l,revealed_x_r,instruct_number,est_left_over_right,whensaved
166070,vp12,999,2017-10-06 17:36:36,999,999,999,999,999,999,999,999,999,inperson,0,999,kCB2,999,999,999,999,2,combined,999,999,999,999,1,NaN,NaN
166071,vp12,999,2017-10-06 17:37:29,999,999,999,999,999,999,999,999,999,inperson,0,999,kCB2,999,999,999,999,2,combined,999,999,999,999,2,NaN,NaN
166072,vp12,999,2017-10-06 17:37:44,999,999,999,999,999,999,999,999,999,inperson,0,999,kCB2,999,999,999,999,2,combined,999,999,999,999,3,NaN,NaN
166073,vp12,999,2017-10-06 17:37:47,999,999,999,999,999,999,999,999,999,inperson,0,999,kCB2,999,999,999,999,2,combined,999,999,999,999,4,NaN,NaN
166074,vp12,999,2017-10-06 17:38:02,999,999,999,999,999,999,999,999,999,inperson,0,999,kCB2,999,999,999,999,2,combined,999,999,999,999,5,NaN,NaN
166075,vp12,999,2017-10-06 17:38:11,999,999,999,999,999,999,999,999,999,inperson,0,999,kCB2,999,999,999,999,2,combined,999,999,999,999,6,NaN,NaN
166076,vp12,999,2017-10-06 17:38:15,999,999,999,999,999,999,999,999,999,inperson,0,999,kCB2,999,999,999,999,2,combined,999,999,999,999,7,NaN,NaN
166077,vp12,999,2017-10-06 17:38:23,999,999,999,999,999,999,999,999,999,inperson,0,999,kCB2,999,999,999,999,2,combined,999,999,999,999,8,NaN,NaN
166078,vp12,999,2017-10-06 17:38:32,999,999,999,999,999,999,999,999,999,inperson,0,999,kCB2,999,999,999,999,2,combined,999,999,999,999,9,NaN,NaN
166079,vp12,999,2017-10-06 17:38:41,999,999,999,999,999,999,999,999,999,inperson,0,999,kCB2,999,999,999,999,2,combined,999,999,999,999,10,NaN,NaN
166080,vp12,999,2017-10-06 17:38:58,999,999,999,999,999,999,999,999,999,inperson,0,999,kCB2,999,999,999,999,2,combined,999,999,999,999,11,NaN,NaN
166081,vp12,999,2017-10-06 17:39:03,999,999,999,999,999,999,999,999,999,inperson,0,999,kCB2,999,999,999,999,2,combined,999,999,999,999,12,NaN,NaN
166082,vp12,999,2017-10-06 17:39:11,999,999,999,999,999,999,999,999,999,inperson,0,999,kCB2,999,999,999,999,2,combined,999,999,999,999,13,NaN,NaN
166083,vp12,999,2017-10-06 17:39:18,999,999,999,999,999,999,999,999,999,inperson,0,999,kCB2,999,999,999,999,2,combined,999,999,999,999,14,NaN,NaN
166084,vp12,999,2017-10-06 17:39:23,999,999,999,999,999,999,999,999,999,inperson,0,999,kCB2,999,999,999,999,2,combined,999,999,999,999,15,NaN,NaN
166085,vp12,999,2017-10-06 17:39:25,999,999,999,999,999,999,999,999,999,inperson,0,999,kCB2,999,999,999,999,2,combined,999,999,999,999,16,NaN,NaN
166086,vp12,999,2017-10-06 17:39:36,999,999,999,999,999,999,999,999,999,inperson,0,999,kCB2,999,999,999,999,2,combined,999,999,999,999,17,NaN,NaN
166087,vp12,999,2017-10-06 17:39:44,999,999,999,999,999,999,999,999,999,inperson,0,999,kCB2,999,999,999,999,2,combined,999,999,999,999,18,NaN,NaN
166088,vp12,999,2017-10-06 17:39:53,999,999,999,999,999,999,999,999,999,inperson,0,999,kCB2,999,999,999,999,2,combined,999,999,999,999,17,NaN,NaN
166089,vp12,999,2017-10-06 17:39:54,999,999,999,999,999,999,999,999,999,inperson,0,999,kCB2,999,999,999,999,2,combined,999,999,999,999,16,NaN,NaN
166090,vp12,999,2017-10-06 17:39:54,999,999,999,999,999,999,999,999,999,inperson,0,999,kCB2,999,999,999,999,2,combined,999,999,999,999,15,NaN,NaN
166091,vp12,999,2017-10-06 17:39:54,999,999,999,999,999,999,999,999,999,inperson,0,999,kCB2,999,999,999,999,2,combined,999,999,999,999,14,NaN,NaN
166092,vp12,999,2017-10-06 17:39:55,999,999,999,999,999,999,999,999,999,inperson,0,999,kCB2,999,999,999,999,2,combined,999,999,999,999,13,NaN,NaN
166093,vp12,999,2017-10-06 17:39:55,999,999,999,999,999,999,999,999,999,inperson,0,999,kCB2,999,999,999,999,2,combined,999,999,999,999,12,NaN,NaN
166094,vp12,999,2017-10-06 17:39:57,999,999,999,999,999,999,999,999,999,inperson,0,999,kCB2,999,999,999,999,2,combined,999,999,999,999,13,NaN,NaN
166095,vp12,999,2017-10-06 17:39:58,999,999,999,999,999,999,999,999,999,inperson,0,999,kCB2,999,999,999,999,2,combined,999,999,999,999,14,NaN,NaN
166096,vp12,999,2017-10-06 17:39:58,999,999,999,999,999,999,999,999,999,inperson,0,999,kCB2,999,999,999,999,2,combined,999,999,999,999,15,NaN,NaN
166097,vp12,999,2017-10-06 17:39:59,999,999,999,999,999,999,999,999,999,inperson,0,999,kCB2,999,999,999,999,2,combined,999,999,999,999,16,NaN,NaN
166098,vp12,999,2017-10-06 17:40:03,999,999,999,999,999,999,999,999,999,inperson,0,999,kCB2,999,999,999,999,2,combined,999,999,999,999,15,NaN,NaN
166099,vp12,999,2017-10-06 17:40:04,999,999,999,999,999,999,999,999,999,inperson,0,999,kCB2,999,999,999,999,2,combined,999,999,999,999,14,NaN,NaN
166100,vp12,999,2017-10-06 17:40:05,999,999,999,999,999,999,999,999,999,inperson,0,999,kCB2,999,999,999,999,2,combined,999,999,999,999,15,NaN,NaN
166101,vp12,999,2017-10-06 17:40:06,999,999,999,999,999,999,999,999,999,inperson,0,999,kCB2,999,999,999,999,2,combined,999,999,999,999,16,NaN,NaN
166102,vp12,999,2017-10-06 17:40:09,999,999,999,999,999,999,999,999,999,inperson,0,999,kCB2,999,999,999,999,2,combined,999,999,999,999,15,NaN,NaN
166103,vp12,999,2017-10-06 17:40:09,999,999,999,999,999,999,999,999,999,inperson,0,999,kCB2,999,999,999,999,2,combined,999,999,999,999,14,NaN,NaN
166104,vp12,999,2017-10-06 17:40:09,999,999,999,999,999,999,999,999,999,inperson,0,999,kCB2,999,999,999,999,2,combined,999,999,999,999,13,NaN,NaN
166105,vp12,999,2017-10-06 17:40:10,999,999,999,999,999,999,999,999,999,inperson,0,999,kCB2,999,999,999,999,2,combined,999,999,999,999,12,NaN,NaN
166106,vp12,999,2017-10-06 17:40:10,999,999,999,999,999,999,999,999,999,inperson,0,999,kCB2,999,999,999,999,2,combined,999,999,999,999,11,NaN,NaN
166107,vp12,999,2017-10-06 17:40:10,999,999,999,999,999,999,999,999,999,inperson,0,999,kCB2,999,999,999,999,2,combined,999,999,999,999,10,NaN,NaN
166108,vp12,999,2017-10-06 17:40:12,999,999,999,999,999,999,999,999,999,inperson,0,999,kCB2,999,999,999,999,2,combined,999,999,999,999,9,NaN,NaN
166109,vp12,999,2017-10-06 17:40:13,999,999,999,999,999,999,999,999,999,inperson,0,999,kCB2,999,999,999,999,2,combined,999,999,999,999,8,NaN,NaN
166110,vp12,999,2017-10-06 17:40:14,999,999,999,999,999,999,999,999,999,inperson,0,999,kCB2,999,999,999,999,2,combined,999,999,999,999,7,NaN,NaN
166111,vp12,999,2017-10-06 17:40:16,999,999,999,999,999,999,999,999,999,inperson,0,999,kCB2,999,999,999,999,2,combined,999,999,999,999,6,NaN,NaN
166112,vp12,999,2017-10-06 17:40:17,999,999,999,999,999,999,999,999,999,inperson,0,999,kCB2,999,999,999,999,2,combined,999,999,999,999,5,NaN,NaN
166113,vp12,999,2017-10-06 17:40:18,999,999,999,999,999,999,999,999,999,inperson,0,999,kCB2,999,999,999,999,2,combined,999,999,999,999,4,NaN,NaN
166114,vp12,999,2017-10-06 17:40:21,999,999,999,999,999,999,999,999,999,inperson,0,999,kCB2,999,999,999,999,2,combined,999,999,999,999,3,NaN,NaN
166115,vp12,999,2017-10-06 17:40:21,999,999,999,999,999,999,999,999,999,inperson,0,999,kCB2,999,999,999,999,2,combined,999,999,999,999,2,NaN,NaN
166116,vp12,999,2017-10-06 17:40:22,999,999,999,999,999,999,999,999,999,inperson,0,999,kCB2,999,999,999,999,2,combined,999,999,999,999,1,NaN,NaN
166117,vp12,999,2017-10-06 17:40:28,999,999,999,999,999,999,999,999,999,inperson,0,999,kCB2,999,999,999,999,2,combined,999,999,999,999,2,NaN,NaN
166118,vp12,999,2017-10-06 17:40:30,999,999,999,999,999,999,999,999,999,inperson,0,999,kCB2,999,999,999,999,2,combined,999,999,999,999,3,NaN,NaN
166119,vp12,999,2017-10-06 17:40:30,999,999,999,999,999,999,999,999,999,inperson,0,999,kCB2,999,999,999,999,2,combined,999,999,999,999,4,NaN,NaN
166120,vp12,999,2017-10-06 17:40:31,999,999,999,999,999,999,999,999,999,inperson,0,999,kCB2,999,999,999,999,2,combined,999,999,999,999,5,NaN,NaN
166121,vp12,999,2017-10-06 17:40:31,999,999,999,999,999,999,999,999,999,inperson,0,999,kCB2,999,999,999,999,2,combined,999,999,999,999,6,NaN,NaN
166122,vp12,999,2017-10-06 17:40:34,999,999,999,999,999,999,999,999,999,inperson,0,999,kCB2,999,999,999,999,2,combined,999,999,999,999,7,NaN,NaN
166123,vp12,999,2017-10-06 17:40:35,999,999,999,999,999,999,999,999,999,inperson,0,999,kCB2,999,999,999,999,2,combined,999,999,999,999,8,NaN,NaN
166124,vp12,999,2017-10-06 17:40:37,999,999,999,999,999,999,999,999,999,inperson,0,999,kCB2,999,999,999,999,2,combined,999,999,999,999,9,NaN,NaN
166125,vp12,999,2017-10-06 17:40:38,999,999,999,999,999,999,999,999,999,inperson,0,999,kCB2,999,999,999,999,2,combined,999,999,999,999,10,NaN,NaN
166126,vp12,999,2017-10-06 17:40:39,999,999,999,999,999,999,999,999,999,inperson,0,999,kCB2,999,999,999,999,2,combined,999,999,999,999,11,NaN,NaN
166127,vp12,999,2017-10-06 17:40:41,999,999,999,999,999,999,999,999,999,inperson,0,999,kCB2,999,999,999,999,2,combined,999,999,999,999,12,NaN,NaN
166128,vp12,999,2017-10-06 17:40:41,999,999,999,999,999,999,999,999,999,inperson,0,999,kCB2,999,999,999,999,2,combined,999,999,999,999,13,NaN,NaN
166129,vp12,999,2017-10-06 17:40:42,999,999,999,999,999,999,999,999,999,inperson,0,999,kCB2,999,999,999,999,2,combined,999,999,999,999,14,NaN,NaN
166130,vp12,999,2017-10-06 17:40:42,999,999,999,999,999,999,999,999,999,inperson,0,999,kCB2,999,999,999,999,2,combined,999,999,999,999,15,NaN,NaN
166131,vp12,999,2017-10-06 17:40:43,999,999,999,999,999,999,999,999,999,inperson,0,999,kCB2,999,999,999,999,2,combined,999,999,999,999,16,NaN,NaN
166132,vp12,999,2017-10-06 17:40:44,999,999,999,999,999,999,999,999,999,inperson,0,999,kCB2,999,999,999,999,2,combined,999,999,999,999,17,NaN,NaN
